artist_id,name,followers,artist_popularity,genre_1,genre_2,genre_3
7wNkISK49lKeXuRaZcQVFe,Ralph Vaughan Williams,98194,50,classical,early modern classical,post-romantic era
7wMlUkDAxXKh4aY0i44vwb,zaigotthatmagic,29,1,,,
7wmk4pht9nSBJqgr9lLWo1,Soldiers Of Core,374,4,uptempo hardcore,,
7wMFyA2xgxiMiM2ev2DVfJ,Ella Collier,1450,18,,,
7wlPClO2hP36azYwLcYWXP,Juu Rafaela,4802,18,,,
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,12203340,81,baton rouge rap,rap,
7wkEQiQnfGz8vL1RmUIyeg,Panda Piano,50,5,,,
7wJsitYX5Sv2Pr2ABWv1LF,Metro Exodus,10298,34,,,
7wjI1KF20E5HXz8eOEt3QX,Lil alvezzz,28,1,,,
7wJa9BqvHGQlydtCVQPTjp,Sped Up Mage,16158,48,sped up,,
7wi1x9DxLtqnhzJIQa7JQF,Carlo Gesualdo,15195,27,classical,early music,italian renaissance
7wGyQjvU5B5Qd2ev3wgNaj,Young Sagg,340,8,,,
7wgy4sB4cvsH9hAH4zTIsW,Casper the Ghost,1647,11,experimental hip hop,,
7wGVWzuplGcxBMnF0EmfGV,A Migos,30,0,,,
7wgtJv9AYGhzuu2jXVxscZ,LE ORE,1892,7,,,
7wFw8VVSRHWSDRyaCsPUTQ,Samba,10291,22,,,
7wft9EdVaixlNo3zkUzLua,Mazuco,113,1,,,
7wfdc9q04XqOyI5B90A6Qi,Kaiden Inthavong,162,5,,,
7wEhuCcUos4l9ERcauxSXA,Swa4L,6,0,,,
7wdWtU2e74Ggxugk0h7H7k,Actionman Verbz,96,8,,,
7wdAvVhgQTOCtfvBdyomxt,War,25,2,,,
7wCjDgV6nqBsHguQXPAaIM,Waylon Jennings,1397069,65,classic texas country,country,outlaw country
7wbZFLV3wwTqyrKNCJ8Y8D,Smoke Fairies,10227,23,modern folk rock,,
7wbrCaklJessMP9kVk9nIW,Jesse Maranger,423,14,,,
7waPJxqJFJJWCvalqMxuWr,KJ Harris,10,0,,,
7waO4FL3koPt0WPceibYjt,Erin Cox,0,1,,,
7w9LYhrm2Sw5G2xW0SPDm7,Abraham,2093,4,atmospheric sludge,sludgecore,swiss metal
7w9B7AXBUcF5lmlKFuMSCt,Anthony Child,1532,2,mandible,,
7w8bP8vUcEF6e8vqQjJJw8,Carlin,262,1,,,
7w5D8n1AowyuQNZREzZHkG,Ogigon,19,0,,,
7w3iYCATXVo5MTCorOserB,Tygar Black,3,0,,,
7w3drow5DpYp3mC6qF0Lde,Adele Pace,5,0,,,
7w3dbhAn9c6kwk05noPV8Q,Tha Essence,35,0,,,
7w2L1GIo649U1ioe0mnH23,Marcus Chow,1344,38,,,
7w29UYBi0qsHi5RTcv3lmA,Björk,1965716,63,art pop,electronica,experimental pop
7w0t8O8nbirfLvGJgKK0xk,Leo RD,42324,49,dembow,dembow dominicano,
7w0sU0t6h88g4IL0zSCUJz,Rheyna Morena,13913,24,dangdut,dangdut remix,
7vZVZOmJaWpaXfK9ws7bBp,Wide clavicle,2,0,,,
7vZVogcSRf6c0DAjhBc8A5,Travis Brown,122,5,,,
7vZTLO4iDAVrmOtpRiyP3N,LiQWYD,53713,37,saxophone house,,
7vYs3F9bcqhPUmrjy77nq7,Tommy Frenzy,572,8,,,
7vyh98doEKmWVMO2XSBEe5,Scotty McFly,45,0,,,
7vy3IaClPY97qCFPOXlYlp,Marine1,3,0,,,
7vxsIl8ARkffe7CSHmKXLx,Mike Miller,22,10,,,
